LINECODE,STATIONCODE,DIRECTION,NEXTSTATIONCODE,PARKTIME
91,9121,0,9123,0
92,9237,1,9235,0
92,9237,0,0,0
92,9235,1,9233,30
92,9235,0,9237,30
92,9233,1,9231,40
92,9233,0,9235,40
92,9231,1,9229,40
6,647,0,649,55
6,645,1,643,35
6,645,0,647,35
6,643,1,641,55
6,643,0,645,55
6,641,1,639,53
6,641,0,643,53
6,639,1,637,53
6,639,0,641,53
6,637,1,635,35
6,637,0,639,35
6,635,1,633,53
6,635,0,637,53
6,633,1,631,50
6,633,0,635,50
6,631,1,627,35
6,631,0,633,35
6,627,1,625,53
6,627,0,631,53
6,625,1,623,33
6,625,0,627,33
6,623,1,621,53
6,623,0,625,53
6,621,1,0,0
6,621,0,623,0
7,761,1,759,0
7,761,0,0,0
7,759,1,757,30
7,759,0,761,30
7,757,1,755,0
7,757,0,759,0
7,755,1,753,45
7,755,0,757,45
7,753,1,751,30
7,753,0,755,30
7,751,1,749,30
7,751,0,753,30
7,749,1,747,40
7,749,0,751,40
7,747,1,745,30
7,747,0,749,30
7,745,1,743,35
7,745,0,747,35
7,743,1,741,0
7,743,0,745,0
7,741,1,739,35
7,741,0,743,35
7,739,1,737,35
7,739,0,741,35
7,737,1,735,50
7,737,0,739,50
7,735,1,733,30
7,735,0,737,30
7,733,1,731,35
9,925,0,923,35
9,927,1,929,60
9,927,0,925,60
9,929,1,931,60
9,929,0,927,60
9,931,1,933,35
9,931,0,929,35
9,933,1,935,60
9,933,0,931,60
9,935,1,937,35
9,935,0,933,35
9,937,1,939,30
9,937,0,935,30
9,939,1,941,35
9,939,0,937,35
9,941,1,943,30
9,941,0,939,30
9,943,1,945,30
9,943,0,941,30
9,945,1,0,0
9,945,0,943,0
10,1001,1,1003,30
10,1001,0,0,30
10,1003,1,1005,30
10,1003,0,1001,30
10,1005,1,1007,45
10,1005,0,1003,45
10,1007,1,1009,30
10,1007,0,1005,30
10,1009,1,1011,50
10,1009,0,1007,50
10,1011,1,1013,30
10,1011,0,1009,30
10,1013,1,1015,30
10,1013,0,1011,30
10,1015,1,1017,30
10,1015,0,1013,30
10,1017,1,1019,59
10,1017,0,1015,59
10,1019,1,1021,45
10,1019,0,1017,45
10,1021,1,1023,50
10,1021,0,1019,50
10,1023,1,1025,60
10,1023,0,1021,60
10,1025,1,1027,30
10,1025,0,1023,30
10,1027,1,1029,40
10,1027,0,1025,40
10,1029,1,1031,30
10,1029,0,1027,30
10,1031,1,1033,30
10,1031,0,1029,30
10,1033,1,1035,30
15,1563,0,0,0
15,1561,1,1559,35
15,1561,0,1563,30
15,1559,1,1557,35
15,1559,0,1561,30
15,1557,1,1555,30
15,1557,0,1559,30
15,1555,1,1553,45
15,1555,0,1557,45
15,1553,1,1551,30
15,1553,0,1555,30
15,1551,1,1549,45
15,1551,0,1553,45
15,1549,1,1547,30
15,1549,0,1551,30
15,1547,1,1545,35
15,1547,0,1549,35
15,1545,1,1543,30
15,1545,0,1547,30
15,1543,1,1541,30
15,1543,0,1545,30
15,1541,1,1539,55
15,1541,0,1543,55
15,1539,1,1537,60
15,1539,0,1541,60
15,1537,1,1535,30
15,1537,0,1539,30
15,1535,1,1533,45
15,1535,0,1537,45
15,1533,1,1531,30
15,1533,0,1535,30
15,1531,1,1529,60
15,1531,0,1533,60
15,1529,1,1527,30
15,1529,0,1531,30
15,1527,1,1525,30
15,1527,0,1529,30
15,1525,1,0,0
15,1525,0,1527,0
16,1621,1,1623,0
16,1621,0,0,0
16,1623,1,1625,40
16,1623,0,1621,40
16,1625,1,1627,40
16,1625,0,1623,40
16,1627,1,1629,40
16,1627,0,1625,40
16,1629,1,1631,45
16,1629,0,1627,45
16,1631,1,1633,45
16,1631,0,1629,45
16,1633,1,1635,45
16,1633,0,1631,45
16,1635,1,1637,50
92,9231,0,9233,40
92,9229,1,9227,30
92,9229,0,9231,30
92,9227,1,9225,30
92,9227,0,9229,30
92,9225,1,9223,40
92,9225,0,9227,40
92,9223,1,9221,40
92,9223,0,9225,40
92,9221,1,0,0
92,9221,0,9223,0
93,9319,1,9321,0
93,9319,0,0,0
93,9321,1,9323,25
93,9321,0,9319,25
93,9323,1,9325,25
93,9323,0,9321,25
93,9325,1,9327,25
93,9325,0,9323,25
93,9327,1,9329,25
93,9327,0,9325,25
93,9329,1,9331,25
93,9329,0,9327,25
93,9331,1,9333,30
93,9331,0,9329,30
93,9333,1,9335,25
93,9333,0,9331,25
93,9335,1,9337,25
93,9335,0,9333,25
93,9337,1,9339,30
93,9337,0,9335,30
93,9339,1,9341,23
93,9339,0,9337,25
93,9341,1,0,0
93,9341,0,9339,0
94,9419,1,9421,0
94,9419,0,0,0
94,9421,1,9423,30
94,9421,0,9419,30
94,9423,1,9425,30
94,9423,0,9421,30
94,9425,1,9427,30
94,9425,0,9423,30
94,9427,1,9429,30
94,9427,0,9425,30
94,9429,1,9431,30
94,9429,0,9427,30
94,9431,1,9433,30
94,9431,0,9429,30
94,9433,1,9435,40
94,9433,0,9431,40
94,9435,1,9437,40
